name,站点类型,Lon,Lat,侧项类别,统计时间,更新时间,纬度,经度
西昌州局强震台,无人值守,102,28,强震,2020年3月,48:10.0,,
西昌新村强震台,无人值守,102,28,强震,2020年3月,48:10.0,,
西昌海南强震台,无人值守,102,28,强震,2020年3月,48:10.0,,
西昌礼州强震台,无人值守,102,28,强震,2020年3月,48:10.0,,
西昌黄水强震台,无人值守,102,28,强震,2020年3月,48:10.0,,
越西中所强震台,无人值守,102,29,强震,2020年3月,48:10.0,,
越西新民强震台,无人值守,103,29,强震,2020年3月,48:10.0,,
道孚专业强震台,无人值守,101,31,强震,2020年3月,48:10.0,,
道孚八美强震台,无人值守,101,30,强震,2020年3月,48:10.0,,
邛崃油榨强震台,无人值守,104,30,强震,2020年3月,48:10.0,,
郫县走石强震台,无人值守,104,31,强震,2020年3月,48:10.0,,
都江安龙强震台,无人值守,104,31,强震,2020年3月,48:10.0,,
都江紫坪强震台,无人值守,104,31,强震,2020年3月,48:10.0,,
都江虹口强震台,无人值守,104,31,强震,2020年3月,48:10.0,,
雅安专业强震台,无人值守,103,30,强震,2020年3月,48:10.0,,
雅安沙坪强震台,无人值守,103,30,强震,2020年3月,48:10.0,,
雅江八角强震台,无人值守,101,30,强震,2020年3月,48:10.0,,
雷波地办强震台,无人值守,104,28,强震,2020年3月,48:10.0,,
雷波黄琅强震台,无人值守,104,28,强震,2020年3月,48:10.0,,
青川关庄强震台,无人值守,105,32,强震,2020年3月,48:10.0,,
青川地办强震台,无人值守,105,33,强震,2020年3月,48:10.0,,
青川桥楼强震台,无人值守,105,32,强震,2020年3月,48:10.0,,
马尔地办强震台,无人值守,102,32,强震,2020年3月,48:10.0,,
马尔梭磨强震台,无人值守,102,32,强震,2020年3月,48:10.0,,
马边地办强震台,无人值守,104,29,强震,2020年3月,48:10.0,,
马边荞坝强震台,无人值守,104,29,强震,2020年3月,48:10.0,,
黑水双溜强震台,无人值守,103,32,强震,2020年3月,48:10.0,,
黑水地办强震台,无人值守,103,32,强震,2020年3月,48:10.0,,
黑水色尔强震台,无人值守,103,33,强震,2020年3月,48:10.0,,
向家坝坝肩强震台,无人值守,104,29,强震,2020年3月,48:10.0,,
团结强震台,无人值守,104,28,强震,2020年3月,48:10.0,,
夏溪强震台,无人值守,104,29,强震,2020年3月,48:10.0,,
大树脚强震台,无人值守,103,26,强震,2020年3月,48:10.0,,
巧家强震台,无人值守,103,27,强震,2020年3月,48:10.0,,
景星强震台,无人值守,103,27,强震,2020年3月,48:10.0,,
木杆强震台,无人值守,104,28,强震,2020年3月,48:10.0,,
来复强震台,无人值守,105,29,强震,2020年3月,48:10.0,,
柑子强震台,无人值守,104,29,强震,2020年3月,48:10.0,,
格勒强震台,无人值守,103,26,强震,2020年3月,48:10.0,,
沙坨强震台,无人值守,104,29,强震,2020年3月,48:10.0,,
沨洞强震台,无人值守,105,29,强震,2020年3月,48:10.0,,
渡口强震台,无人值守,104,28,强震,2020年3月,48:10.0,,
溪洛渡坝肩强震台,无人值守,104,28,强震,2020年3月,48:10.0,,
王坤田强震台,无人值守,103,27,强震,2020年3月,48:10.0,,
蒙姑强震台,无人值守,103,27,强震,2020年3月,48:10.0,,
谷米强震台,无人值守,104,28,强震,2020年3月,48:10.0,,
金塘强震台,无人值守,103,27,强震,2020年3月,48:10.0,,
高场强震台,无人值守,104,29,强震,2020年3月,48:10.0,,
黄琅强震台,无人值守,104,28,强震,2020年3月,48:10.0,,
务基1井流体台,无人值守,103,28,流体,2020年3月,48:10.0,,
务基2井流体台,无人值守,103,28,流体,2020年3月,48:10.0,,
千万贯井流体台,无人值守,103,28,流体,2020年3月,48:10.0,,
团结1井流体台,无人值守,104,28,流体,2020年3月,48:10.0,,
团结2井流体台,无人值守,104,28,流体,2020年3月,48:10.0,,
柑子井流体台,无人值守,104,29,流体,2020年3月,48:10.0,,
万和测震台,无人值守,103,28,测震,2020年3月,48:10.0,,
三台坡测震台,无人值守,102,27,测震,2020年3月,48:10.0,,
三岩龙测震台,无人值守,101,29,测震,2020年3月,48:10.0,,
下咡坪测震台,无人值守,104,29,测震,2020年3月,48:10.0,,
下火地测震台,无人值守,102,30,测震,2020年3月,48:10.0,,
东坪测震台,无人值守,103,27,测震,2020年3月,48:10.0,,
丝泥坪测震台,无人值守,104,28,测震,2020年3月,48:10.0,,
乌角测震台,无人值守,104,28,测震,2020年3月,48:10.0,,
五大寺测震台,无人值守,102,30,测震,2020年3月,48:10.0,,
亿扎测震台,无人值守,101,30,测震,2020年3月,48:10.0,,
付田坝测震台,无人值守,103,30,测震,2020年3月,48:10.0,,
元宝山测震台,无人值守,103,28,测震,2020年3月,48:10.0,,
八占地测震台,无人值守,104,28,测震,2020年3月,48:10.0,,
